EMU ID,N candidates,Ecological rationale,NDVI_raw,TreeCover_Pct,BuiltUp_Pct,Elev_m,ElevStd_m,TRI_m,Slope_deg,gHM,DistWater_m,LST_C,NightLights,NatCoverPct_2km,EdgeDensity_2km,NatCoverPct_500m,EdgeDensity_500m
FCF_Soova_EMU_Mayurbhanj_5,3,Ecological clustering over 3 tiles (see emu_delineation_report.json for active features and silhouette diagnostics).,0.48,98.3311,0.0,104.2954,1.876,0.3425,0.1361,0.1799,4953.2695,26.1421,0.5319,69.3701,6.0047,51.966,10.0957
FCF_Soova_EMU_Mayurbhanj_1,18,Ecological clustering over 18 tiles (see emu_delineation_report.json for active features and silhouette diagnostics).,0.421,97.5425,97.2757,110.3983,2.0647,0.3207,0.1361,0.3317,1019.5451,27.0294,0.5126,22.6076,6.4868,17.9988,6.1594
FCF_Soova_EMU_Mayurbhanj_2,14,Ecological clustering over 14 tiles (see emu_delineation_report.json for active features and silhouette diagnostics).,0.4622,99.0837,11.1454,89.2796,2.0031,0.3428,0.1668,0.2244,3235.0293,26.9987,0.4691,48.3357,6.7206,42.1534,8.9156
FCF_Soova_EMU_Mayurbhanj_3,11,Ecological clustering over 11 tiles (see emu_delineation_report.json for active features and silhouette diagnostics).,0.4339,98.9443,85.6034,88.7032,3.0013,0.4181,0.1668,0.3122,2231.232,27.2242,0.4912,30.7893,6.5909,36.4386,8.9947
FCF_Soova_EMU_Mayurbhanj_4,4,Ecological clustering over 4 tiles (see emu_delineation_report.json for active features and silhouette diagnostics).,0.3692,91.7398,0.0,79.7123,1.6727,0.2702,0.1361,0.269,1762.8336,25.5747,0.5452,58.3172,8.7259,17.5394,6.5782
