EMU ID,N candidates,Ecological rationale,NDVI_raw,TreeCover_Pct,BuiltUp_Pct,Elev_m,ElevStd_m,TRI_m,Slope_deg,gHM,DistWater_m,LST_C,NightLights,NatCoverPct_2km,EdgeDensity_2km,NatCoverPct_500m,EdgeDensity_500m
FCF_GV_EMU_Ganjam_1,643,Ecological clustering over 643 tiles (see emu_delineation_report.json for active features and silhouette diagnostics).,0.5135,34.3143,0.0,186.0515,4.8254,0.7002,0.1547,0.1583,5269.3854,26.3326,0.3881,78.1972,5.2771,66.8235,7.793
FCF_GV_EMU_Kandhmal_2,148,Ecological clustering over 148 tiles (see emu_delineation_report.json for active features and silhouette diagnostics).,0.4018,0.0031,0.0,669.0426,6.1735,0.6765,0.0656,0.1563,4252.8703,24.9562,0.3665,58.0895,7.4036,42.1375,8.0725
FCF_GV_EMU_Kandhmal_1,267,Ecological clustering over 267 tiles (see emu_delineation_report.json for active features and silhouette diagnostics).,0.4521,0.0,0.0,735.6944,11.8117,1.2451,0.1547,0.1146,1390228.5,24.8718,0.3974,65.1598,7.3998,45.089,8.6851
FCF_GV_EMU_Gajapati_1,495,Ecological clustering over 495 tiles (see emu_delineation_report.json for active features and silhouette diagnostics).,0.5834,21.2389,0.0,597.3638,16.4228,1.6813,0.1547,0.0888,1390228.5,25.6598,0.4222,61.8846,8.6225,54.6666,9.8246
FCF_GV_EMU_Kalahandi_1,234,Ecological clustering over 234 tiles (see emu_delineation_report.json for active features and silhouette diagnostics).,0.4708,0.0,0.0,763.6605,12.2256,1.3326,0.0595,0.1041,4858.3853,25.311,0.3734,41.5859,8.9901,32.0244,9.3134
FCF_GV_EMU_Kalahandi_2,106,Ecological clustering over 106 tiles (see emu_delineation_report.json for active features and silhouette diagnostics).,0.463,14.863,0.0,785.9983,13.6898,1.4427,0.0595,0.0854,1390228.5,25.1994,0.3653,67.7868,8.3329,54.7531,10.1303
