system:index,BuiltUp_Pct,DistWater_m,EMB_00,EMB_01,EMB_02,EMB_03,EMB_04,EMB_05,EMB_06,EMB_07,EMB_08,EMB_09,EMB_10,EMB_11,EMB_12,EMB_13,EMB_14,EMB_15,EMB_16,EMB_17,EMB_18,EMB_19,EMB_20,EMB_21,EMB_22,EMB_23,EMB_24,EMB_25,EMB_26,EMB_27,EMB_28,EMB_29,EMB_30,EMB_31,EMB_32,EMB_33,EMB_34,EMB_35,EMB_36,EMB_37,EMB_38,EMB_39,EMB_40,EMB_41,EMB_42,EMB_43,EMB_44,EMB_45,EMB_46,EMB_47,EMB_48,EMB_49,EMB_50,EMB_51,EMB_52,EMB_53,EMB_54,EMB_55,EMB_56,EMB_57,EMB_58,EMB_59,EMB_60,EMB_61,EMB_62,EMB_63,EdgeDensity_2km,EdgeDensity_500m,ElevStd_m,Elev_m,IUCN_GET_code,IUCN_GET_name,JRC_Water,LST_C,NDVI_raw,NatCoverPct_2km,NatCoverPct_500m,NightLights,PointOnBuilding,SEGMENT_ID,SEG_Elev_m_mean,SEG_LST_C_mean,SEG_NDVI_raw_mean,SEG_NightLights_mean,SEG_Slope_deg_mean,SEG_TRI_m_mean,SEG_TreeCover_Pct_mean,SEG_gHM_mean,Slope_deg,TRI_m,TreeCover_Pct,TreeCover_Pct_Hansen_LossAdjusted,emb_match,gHM,is_natural,iucn_match,name,pob_match,.geo
00000000000000000097,3.5598489895625143,1390228.5000315595,-0.015375621344495615,-0.003049285866323643,0.17961005687779774,-0.02105709321215476,-0.0855530489605675,-0.03460025513342679,-0.09662078038793914,0.12495542576041618,0.04620685103518923,-0.04722424957755958,0.1407171860222536,-0.0036547196567575132,-0.2636022008651929,0.039605467174133026,0.05908332255406987,0.11677500897987349,-0.03161322038885095,0.1555161187342917,-0.1834758270854162,-0.19166384612829793,-0.413132265447709,0.2456859977068557,0.16618401760951712,-0.03263816655016525,-0.01722104218102963,-0.001010834504537666,0.07046638325528295,-0.0020607567956532477,-0.00536997172972728,0.16178221072320267,0.06524940346915549,0.12411108421631507,-0.052277091533578,0.0875730622747721,-0.005975563986006853,-0.10879267177428718,-0.13110658356430835,0.15480173011234427,0.1659150928728538,0.017297268351066392,0.05633444558256389,-0.0015865272611202167,-0.21336086677402377,0.23570650315313765,0.019531241976919505,-0.027870374596695446,-0.04200981753972725,0.08229323165563594,-0.1691535295833794,-0.054878992799281254,0.043827080634782085,0.06289012980623877,0.04412681468367067,-0.016237932369065265,0.18555328973302693,-0.04155803551188864,0.0278761613322333,-0.08827950028273689,-0.07295971082715332,-0.21544480603003516,-0.04467232242881694,-0.11825348848983848,0.1446746915615145,0.012454019333345456,8.938763951572886,10.418785614354292,20.48448912877797,770.371913974126,F3.2,,,25.13714285714292,0.47444204770801285,61.445917402533404,17.89507438189277,0.337392265911688,0,,,,,,,,,,0.06557433307170868,1.9952675078886943,1.9853431045969352,47.0278703086831,<Feature>,0.13430586579592263,0.019853431045969355,<Feature>,631372343,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[83.00073047605797,19.589914494021297],[83.00114066736708,19.589802983706356],[83.00121207958536,19.589597875647467],[83.00197899766974,19.58948637942654],[83.002045899659,19.58952653946325],[83.00224652323281,19.58941502781748],[83.00251412969959,19.589365983739132],[83.00262555008715,19.589312509520003],[83.00284855427186,19.589361520570826],[83.00287528192878,19.589575581780196],[83.00292430993389,19.589745085148312],[83.00274598883776,19.589646965692122],[83.00266129639684,19.58984316181812],[83.00246501940286,19.59016868034398],[83.00194776032068,19.590199826498672],[83.001524209925,19.59022665818567],[83.00075720457183,19.590525346277317],[83.00069923811856,19.59037373712678],[83.00065914530853,19.59013296980493],[83.00065914530853,19.589945681616467],[83.00073047605797,19.589914494021297]]]}"
00000000000000000099,0.0,1390228.5000315595,0.034734845927957204,0.020665472976416216,0.1633274342516531,-5.481263412006489E-5,-0.06330936081008717,0.06399249812546519,-0.08534438123809213,0.07758218938017666,-0.052398074976589985,0.021581478608869716,0.12221460046283736,0.09899719524590757,-0.2903505200005372,0.043785917318762885,0.03388044047543769,0.09489538312592277,-0.025919289570204812,0.08283973414378339,-0.13922497290362262,-0.06747166319685403,-0.46103659307177625,0.25196719032689346,0.1583208721569481,0.02337240885749827,-0.057273638860051594,-0.020838804413647907,0.12514905431041623,-0.04404505358043487,-0.07107121115626361,0.13098672791110522,-0.03267313955921685,0.14513493315574721,0.03669759927030324,0.03126127311129556,0.04813391671364676,-0.06864959410351525,-0.07115397083436388,0.017473106617563683,0.06134134249509722,-0.07339589579374042,-0.02842961429717551,-0.008645170459270143,-0.23513487356906354,0.27445018877861804,0.08006332908311303,0.10764388827834771,0.036093735367355904,-0.06885452960626631,-0.1832564656220854,0.05560266460976991,-0.030320436729480826,-0.022839294803160725,-0.020622143674522232,-0.07254637111315843,0.2176133434328316,-0.10646605697927708,0.01348671123572732,-0.09960854394780276,-0.0915478708299438,-0.2638368150188326,-0.024821372018075577,-0.12040898520942897,0.16974058359197955,-0.04620705056321424,6.956670332718424,10.034128363866204,11.161090995038077,798.135000136669,F3.2,,,24.443943661971844,0.6770573678100492,73.56723401935626,40.32888023161893,0.33941176533699036,0,,,,,,,,,,0.059476204216480255,1.6448783055235197,12.53758963682628,3.856118436271108,<Feature>,0.08989937603473663,0.12537589636826277,<Feature>,631593049,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[82.95391884011477,19.65375993970112],[82.95399465179493,19.653643973490464],[82.95407489393342,19.653675200313216],[82.9541997695428,19.65373318944074],[82.95428895454171,19.65380450134806],[82.95436476579887,19.653844585322457],[82.95437813942074,19.65388032858441],[82.95424883361407,19.653987337537533],[82.95418639588496,19.653969450717778],[82.95410607183426,19.654023018916217],[82.95401245604057,19.654089883670096],[82.95382071144772,19.653978433574878],[82.95391884011477,19.65375993970112]]]}"
0000000000000000007f,0.0,1390228.5000315595,0.03688010624748668,0.028056029699440623,0.1466642033266377,0.010760850657066515,-0.058020038927642334,0.029988426718210337,-0.06929817136259263,0.06124575816036589,-0.044186372773517224,0.0025300170495516547,0.15076539949413204,0.10107737758316411,-0.30483261678108686,0.03968301426455438,0.04409523900654773,0.08838043980433624,0.018731217952351054,0.056106308334112336,-0.16327463272557044,-0.08311128678356737,-0.4246007193247308,0.23717683567289305,0.18184546859523618,0.001403809393422146,-0.054686462695242403,-0.00997432875824354,0.13376203301120992,-0.03046093655500916,-0.050004232332221156,0.13159641363208446,0.015791972406666036,0.14081001195603185,0.046324178982753435,0.008021145467834643,0.037104809965829745,-0.05495036394376812,-0.10543395635717155,0.04382923753982993,0.08677481318240225,-0.08194276071227824,-0.03124908759504653,-0.040750533580550606,-0.21820481887212892,0.3010003859396281,0.06750468316760994,0.08423788700384495,0.044919604089242594,-0.01332992783934901,-0.20210228896794152,0.027035500311965822,-0.044288537593046906,-0.054099795204191004,-0.01661172486062133,-0.04747759133434271,0.22591152045737653,-0.13181695617045822,-0.003000328527121399,-0.08330584157534032,-0.09137356477934093,-0.26215162937429937,0.0014098352530946922,-0.14732424105695935,0.15574287735290068,-0.02725792715825022,6.787627615645672,9.586824189083885,11.110724717041565,800.0941012345384,F3.2,,,24.443943661971844,0.5364071446177909,74.31967736458908,45.14347826706349,0.33941176533699036,0,,,,,,,,,,0.059476204216480255,1.6714739215836696,0.0,0.0,<Feature>,0.041065044701099396,0.0,<Feature>,632014897,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[82.95347291143288,19.654540252376858],[82.95353534983359,19.654553624182267],[82.95359778817553,19.654558055574714],[82.95366908760319,19.654437668396533],[82.95372709525131,19.654495658918663],[82.95378953341276,19.65446441896639],[82.95384302834796,19.654442130471697],[82.95388758007856,19.654397547222953],[82.953958961242,19.65441090775749],[82.95395001808895,19.65445101517155],[82.95391884011477,19.65452240137805],[82.95381176827604,19.65468735445004],[82.95377615967222,19.654682889870415],[82.95366022645868,19.654731993198055],[82.95349965903355,19.654727512631744],[82.95345953762852,19.65468295560682],[82.95340152974642,19.654616024585263],[82.95347291143288,19.654540252376858]]]}"
0000000000000000009a,0.0,1390228.5000315595,-0.012984109338716111,0.035275530568558,0.15289354562038754,-0.003082950064285654,-0.0909567942092799,0.004211397407401407,-0.09677608849192929,0.13102343025604762,0.02454228079803772,-5.741556125533732E-4,0.13258304992855866,0.03665264123755838,-0.28897756639898475,0.04298016504485732,0.027953955847059616,0.10960543241066517,0.04172188222067744,0.04151858891419813,-0.1723815591131604,-0.17183107627916355,-0.45448429170413807,0.18056622680318749,0.17742336706129017,-0.018645813332124814,-0.008489929422933232,0.05852561514509696,0.130205456623162,-0.023350118622293494,-0.046638898295376145,0.14305639676093196,0.03505654146532751,0.14421619828206322,0.04845537154385255,0.06480726756546618,0.07026988749467093,-0.09721337077033419,-0.09108941714411754,0.0989213091744341,0.11749803106846402,-0.07091244984190907,0.04324006424145562,-0.006535740991853222,-0.20492643635891097,0.30886576097336027,0.08951585646119044,0.012983869879600004,-0.043944837318749125,0.05081208700756341,-0.15453202591462092,0.04529799833458992,-0.03140778692516279,0.007047397775102103,0.008014270079623197,0.006524875534459769,0.2478519972421981,-0.08067510820851119,0.043584286720862536,-0.08812816843404568,-0.09263493491961904,-0.21829179080131367,-0.012246126275257178,-0.13436458459537517,0.09604929265905109,0.047867484447609805,8.002404352272686,9.566252576685622,13.561776789022986,806.3606375304536,F3.2,,,24.880489510489554,0.650643409308157,64.16786071243375,71.35537581740464,0.359923047112995,0,,,,,,,,,,0.059476204216480255,1.6373183233549826,100.0,42.334772824037444,<Feature>,0.08404879226621707,1.0,<Feature>,632014954,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[82.96093745282279,19.655918134832742],[82.96108011785776,19.65586456301417],[82.96112917683851,19.65590025714487],[82.96129415585362,19.655820013856694],[82.96156619394952,19.656105371543845],[82.96169991552347,19.65589133264133],[82.96186940517988,19.65593598104176],[82.96188277728824,19.65599394015504],[82.96194520777077,19.65595375613556],[82.96195414984557,19.65595374460967],[82.96211018475496,19.65598052740518],[82.96212355681476,19.656132136406075],[82.96202995233955,19.656265925243478],[82.9619853240419,19.656426464261777],[82.9620032081795,19.656546822469906],[82.96185603306881,19.656627130576368],[82.96174454401327,19.656529030014106],[82.9615973683283,19.656408582141815],[82.96153050747162,19.65639079532693],[82.9615885082432,19.656314947002418],[82.96160631045004,19.65625251767024],[82.96156619394952,19.65621690241641],[82.9614948209745,19.65625249202424],[82.96143690215895,19.65632391839713],[82.96146807659852,19.656426463724827],[82.96134764473508,19.65641750890433],[82.9611514912793,19.656323863217754],[82.96104443111817,19.65619902377582],[82.96090176600642,19.65599837765957],[82.96093745282279,19.655918134832742]]]}"
0000000000000000009b,0.0,1390228.5000315595,-0.030720700754545086,0.002624535721724168,0.21260457719123516,-0.06267924623421797,-0.0757480408661911,-0.024897157122256815,-0.10406472771624706,0.1512371429397231,-0.011101569499163938,-0.0032079529792484575,0.07813390999866575,0.0024099526415495257,-0.2545503945322549,0.03492015176019536,-0.011009301403175508,0.09632412197636114,-0.0012962053431281413,0.16229279606244482,-0.13428764238042523,-0.1563933713057249,-0.45394684265617,0.33019542336321134,0.16014012298134664,-0.05940918704347048,-0.007969456574243017,-0.04839198375225609,0.07199223733961418,0.06733719566860305,-0.05044446220726449,0.1370958189658558,0.06100030859049507,0.1056950055005704,-0.022968981444475612,0.12631340524605894,-0.03792252422609933,-0.14599514376820974,-0.09240443230617519,0.08266088687090932,0.12488912689014246,-0.002269846088244559,0.07976822086721684,0.038216085116558746,-0.18477327326009194,0.2683115654080682,0.03148420220475614,0.028347325147753552,-0.012613721449924582,0.04477302581271448,-0.135224550024388,-0.05327092320306358,0.003080602800293179,0.038907344253566,0.0571284573776256,-0.07689614741374624,0.18887527312260977,-0.04772433171111556,0.012544189763594834,-0.0762261708047107,-0.09770313286348102,-0.1769622569336476,-0.010323307453520576,-0.15217479805958137,0.13067712845429735,-0.005061824624597428,8.552543960126483,11.62234110752007,16.808943659358082,798.2475312342867,F3.2,,,24.880489510489554,0.43582166150154583,63.69369055367078,62.36707318347202,0.36529412865638733,0,,,,,,,,,,0.059476204216480255,1.5695976227082886,47.830150887969026,15.61370009347042,<Feature>,0.10022592302901767,0.4783015088796902,<Feature>,632015015,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[82.96120498027585,19.65268527570433],[82.96126298133225,19.65270307687225],[82.9614323900678,19.65256484808174],[82.961352156832,19.652408819477387],[82.96147701873771,19.652328542014544],[82.96153944960237,19.652261626990843],[82.96163305477022,19.65243551748772],[82.96156619394952,19.65255590215865],[82.96172222977214,19.652578259220327],[82.96176234617822,19.65268973256317],[82.96175348611516,19.65282349327567],[82.96167768330503,19.65284581526772],[82.96165536904138,19.652783352720455],[82.96150819315842,19.65293942907698],[82.96137890125473,19.65295722087919],[82.96128078362652,19.65294832659355],[82.96116486353247,19.652948308674695],[82.96108462997289,19.652997368830125],[82.9610533733145,19.652979529805375],[82.96120498027585,19.65268527570433]]]}"
0000000000000000009c,0.0,1390228.5000315595,-0.012099703325500274,0.019768952490737072,0.19870126476325406,-0.007751687489595168,-0.058399487612474425,-0.024881923814412957,-0.04942273938519244,0.11273339156722799,0.01689256951864623,0.01471084572019564,0.09347387290109807,0.04450438511838792,-0.2698384374214457,0.04878641138377573,-0.014994595567370358,0.10947960697206076,-0.039091232880528334,0.11476972960592194,-0.102410021005324,-0.17066662775563607,-0.4819290585586691,0.2990698008617467,0.17726090664027788,-0.052193638090715304,-0.018988697893210883,-0.024803084760384324,0.08166216426247347,0.04059823056510091,-0.05053239354351038,0.11699901329585488,0.054871221070146185,0.09363823663168429,-0.046694846211889546,0.08026378141374829,-0.005949779566800842,-0.1019429294567335,-0.09072653305591535,0.07770642467543004,0.1480605747468738,-6.096031981329789E-4,0.07678063398007444,0.029823713133733006,-0.20461988013191723,0.2786135911365979,0.018972549815515275,0.02390221481143957,-0.0393064285665331,-0.028853634610831104,-0.19479954960482093,-0.010514193793292666,-0.04360794572088101,0.04581706642223466,0.036789813445927695,-0.05341856617716148,0.19825916470840277,-0.062474029650647474,0.003122619048408638,-0.04562787922281406,-0.1437625684286952,-0.22882065751240455,0.009679684838339038,-0.14434045029347983,0.09712959075544658,0.04091717720812914,7.647038674999285,9.286532412472647,13.65309801218773,799.2573523321256,F3.2,,,24.443943661971844,0.3631338361927049,71.36600114457808,43.50126504376369,0.36628108443354923,0,,,,,,,,,,0.059476204216480255,1.339155226261962,0.014376078205865438,8.77458309373203,<Feature>,0.10279905428020619,1.4376078205865437E-4,<Feature>,632015077,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[82.9562598549772,19.653594921012786],[82.956295544292,19.653630544186026],[82.9563177783152,19.653608295686475],[82.95636241042781,19.653608326558192],[82.95639809968742,19.653577032057672],[82.95648728173036,19.65354584422485],[82.9566700758281,19.654223619869104],[82.95662101354792,19.654254842620126],[82.95654077448975,19.65424592275966],[82.95642041572046,19.65422360247156],[82.9563668408197,19.654219157751005],[82.9562509121344,19.653907034051304],[82.956157299368,19.653786693384312],[82.95610823670847,19.653693021085136],[82.9562598549772,19.653594921012786]]]}"
0000000000000000007e,0.0,1390228.5000315595,0.028108174565844073,-0.009493530544986582,0.15780811914663734,0.03735036374352343,-0.04305514547412399,-0.010835480504185419,-0.08580611142934465,0.11044428817366547,-0.06840344975506368,-0.022254316721542544,0.09651775096336795,0.11511242544150377,-0.2916439779089003,0.011858248949699952,0.014494576317318682,0.05650070813430801,-0.02889798157143205,0.10868970056552428,-0.11719283451907667,-0.004029244368689341,-0.4477870081027952,0.2634163172565888,0.1993664761922503,-0.009342583321561279,-0.028511522900137278,-0.04982256850170991,0.16057441412687842,-0.025410001226363395,-0.09355200893330702,0.1330972340589576,0.031823171851803556,0.14960216046939187,0.0792388971422628,0.06377687430499605,-0.020792913792862557,-0.058619350772531324,-0.0649932777692398,-0.04347689029429099,0.08237355236080127,-0.038675606183148324,-0.026555749600396986,0.010989209554457518,-0.21097654644683195,0.2769318561087644,0.04948944473680533,0.08834101802650704,0.017747210799449218,-0.10168214627048403,-0.21349669942661043,0.031122995969559277,-0.047899845954268556,-0.03415536937599836,-0.021551508038889687,-0.0648781465664671,0.17672184267051236,-0.12109547264925023,0.017897412890683414,-0.08489524528044139,-0.1412408003340676,-0.2638720069876841,0.003440689288673007,-0.09460128752633189,0.08088610292241878,-0.057162849157819516,7.982599020785748,11.730521389218907,12.109273446349412,803.8095689981493,F3.2,,,24.880489510489554,0.5851679749395773,68.52685463140614,49.240837770920734,0.3705882430076599,0,,,,,,,,,,0.059476204216480255,1.5097863520781964,78.25033647375504,0.20296096904441455,<Feature>,0.10657636441821848,0.7825033647375506,<Feature>,632959366,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[82.95852949308099,19.65298845418294],[82.95856969346059,19.652961760684466],[82.95864993006376,19.653037506885262],[82.95863212706305,19.653082144745117],[82.95848937471867,19.653148986512434],[82.95852063258587,19.653238168881202],[82.9579409239163,19.653572653934575],[82.95791860839493,19.653474519692985],[82.95852949308099,19.65298845418294]]]}"
0000000000000000009d,0.0,10253.753449623217,0.03349839652545785,0.03987335974457983,0.15648797010541832,0.057271035399176426,-0.04282409180140774,-0.01789980350710394,-0.08431046564534325,0.11648884757981244,-0.07062722153640912,-0.011290615077034324,0.0830192263524429,0.12659193753994372,-0.27781742075194893,-0.01445894612852206,0.010350299593847511,0.059185622243151534,-0.020117443261273713,0.08955625304694509,-0.1341460431560775,-0.00952803830661181,-0.4540387751171892,0.22449041842384798,0.15263293748521606,-0.026369091101855494,-0.018791156285471355,-0.03278161535433637,0.19547298136809518,-0.04715420627838424,-0.10994163558754029,0.11735135911212044,0.05164104977262833,0.1924751624598502,0.11849661157950192,0.09711282072066937,-0.035328364794866306,-0.007471626686854072,-0.05596295739097003,-0.05431304906551952,0.06615432970184416,-0.03610418405529187,-0.011279352629068536,0.02872214402349946,-0.20355820996139515,0.3057284267126836,0.08598708289911859,0.10311638694880494,0.006714140962414461,-0.0400250986986954,-0.22068399678595232,0.05712372228668177,-0.05772745398010889,-0.08109948091161162,-0.007385630532445142,-0.06428411118736345,0.1782520536037933,-0.12680991023977348,0.006309491538852399,-0.0837688935785224,-0.1304182974477906,-0.2653695506767796,0.006004518809941381,-0.0919981525408631,0.044977732713330804,-0.03500436241249584,6.920070682033634,11.357851870705012,21.005637031131577,824.6558771947933,F3.2,,,24.205782312925237,0.6377567340072382,69.65674781796713,68.32598587616764,0.3776470720767975,0,,,,,,,,,,0.059476204216480255,1.856855008781627,0.0,0.0,<Feature>,0.046381957828998566,0.0,<Feature>,632959495,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[82.95923406273495,19.658776404530222],[82.95926532025109,19.658789728913163],[82.9592741806467,19.658771923592887],[82.95930543814391,19.65873178533476],[82.95932775319854,19.65871838972483],[82.95934555601247,19.658704998176564],[82.95937673143548,19.658722834750066],[82.95951496964774,19.658709459395794],[82.95952834223104,19.658709531073544],[82.95954622703145,19.658722874033252],[82.95957740236011,19.658718404366013],[82.95960865971439,19.658696147120235],[82.95965320757179,19.658691658797622],[82.95973795507054,19.65870499882259],[82.95973795507054,19.65874067070354],[82.9597736425134,19.65876744368603],[82.95982270246095,19.658754101001705],[82.95983156278206,19.658731780206573],[82.95985387765961,19.65871838451183],[82.95992968255517,19.658736251241553],[82.959992114877,19.65870952416285],[82.96002337203576,19.658749670063475],[82.96005897728526,19.65878086490774],[82.96002780218306,19.65880764089739],[82.96003223233006,19.65883879007706],[82.96000991751254,19.658910163936323],[82.9600367445165,19.658941376596974],[82.96003223233006,19.658999358828737],[82.95998317253753,19.659021642124422],[82.95993411270872,19.659043925402454],[82.95988956504007,19.659021682428016],[82.95983607498216,19.65903945752929],[82.95979144520759,19.659048367794956],[82.95972015236197,19.65905731853913],[82.95969332522989,19.659017165277795],[82.95964434722684,19.6590483922178],[82.9595550873895,19.659052846950715],[82.9595550873895,19.65909294396508],[82.95943916427801,19.659097439084906],[82.95938567385674,19.65907511701328],[82.95930986833918,19.659106377843592],[82.9592474353749,19.65909300760855],[82.95923406273495,19.65899486082479],[82.95924300517547,19.658972543286986],[82.95922963253463,19.658936890021074],[82.95924300517547,19.658852162030648],[82.95922512029325,19.65882545337804],[82.95923406273495,19.658776404530222]]]}"
0000000000000000007d,0.0,1390228.5000315595,0.029823676719666948,0.0018820693276219433,0.16067830908457822,-0.005604317934869531,-0.05518997523882524,0.015821072446352318,-0.06319570129869335,0.07625004202248252,-0.06355344556850766,-8.39708016585688E-4,0.11128449842066777,0.07601822869073023,-0.3297348233639707,0.03667845333629986,-0.01070220637898228,0.05793587603479727,-0.01876985473158891,0.10843279672915335,-0.10289221034590465,-0.036122261076464206,-0.41908777900636246,0.321500136407525,0.20883822149036887,-0.018909819650711163,-0.041957039473831656,-0.047032662623951046,0.10508146249241304,-0.010513130675963977,-0.08209518698425682,0.14707708318943818,0.017525687706839755,0.12530147896726365,0.017567365859651633,0.043507655834136606,0.0017741005813466638,-0.09332537096428814,-0.09885366742684062,0.004884819686366603,0.11705438799271485,-0.04718257031711133,-0.00851246524358676,-0.004465576914182654,-0.21518842677401603,0.2828214903281055,0.029859666301758705,0.07333959646599583,0.05725380173578831,-0.09336879317746405,-0.1961938164502789,-0.006942892414091273,-0.014112773469581941,-0.004078721505955376,-0.0043719029430407405,-0.04711279160291983,0.18585007152481206,-0.11480052411458881,-0.016702067424640192,-0.0780248271882711,-0.12958679827802563,-0.27110083419466685,-0.004623389927684654,-0.14877762354253296,0.13467741708734993,-0.024612049460410953,8.037147579354858,12.534617751641127,11.288837078801377,799.2667343875497,F3.2,,,24.880489510489554,0.3779881320731881,68.01599065134263,48.365367812424,0.3705882430076599,0,,,,,,,,,,0.059476204216480255,1.2746838835114045,0.0,0.9141494435612083,<Feature>,0.12037676006602938,0.0,<Feature>,633014645,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[82.95831995846288,19.652725409135023],[82.95838682255743,19.65268973473007],[82.9584314532775,19.65261390677097],[82.95847600192583,19.65259605291318],[82.95855632068397,19.652560362957892],[82.95862318454016,19.652569300277218],[82.95867667557657,19.65252921935201],[82.95877028478645,19.6525692752747],[82.95873467884489,19.65260057363313],[82.95876142432351,19.65261390173691],[82.95876142432351,19.65267630415845],[82.95855180839676,19.652970633570277],[82.95852063258587,19.652988468768818],[82.95827983997378,19.652756621141314],[82.95831995846288,19.652725409135023]]]}"
0000000000000000007c,0.0,1390228.5000315595,0.03113330770216584,-0.015356068178905549,0.1749704728950404,0.06883857490708703,-0.02861973599897475,-0.03082283737024221,-0.09629988465974623,0.12737890554914777,-0.07472287581699347,-0.03587848263488402,0.05475483788286555,0.1381931564782776,-0.27098613353838263,-0.011565346661540432,0.011478764577726515,0.06133835704216327,-0.0287840574138152,0.11976368063565297,-0.10426799948737665,0.007642880943226966,-0.45238013584518766,0.24957480456234785,0.20080428040497245,0.002282301678841469,-0.036320133282071,-0.06193166730744586,0.18958034089452774,-0.03306602588747917,-0.10265226195053186,0.1157333333333333,0.04241240548506984,0.13356542355504292,0.11876573112905292,0.08462732282455464,-0.031342765602973215,-0.02986018198128924,-0.030454773804946808,-0.06778533897219018,0.04125892605408176,-0.03424539279764193,-0.031207304882737413,0.027619479687299747,-0.2054902729719339,0.28539451493015516,0.0620002819428425,0.11122478533897218,-0.02386963988209663,-0.08981125208253234,-0.21787184416250166,0.07176883250032039,-0.08710065359477126,-0.04914781494297065,-0.028858157119056774,-0.0783112392669486,0.16677949506600023,-0.11544841727540689,0.03955388952966808,-0.07724398308342945,-0.1670094579008074,-0.2523537101114956,0.007796180956042548,-0.06753976675637574,0.02641014994232987,-0.06679623221837756,7.913450792832942,11.624735322288295,12.447433621735936,803.762972310384,F3.2,,,24.880489510489554,0.7766789202888806,68.67071615151595,49.81824553639053,0.3705882430076599,0,,,,,,,,,,0.059476204216480255,1.5666783988949686,100.0,0.0,<Feature>,0.1028689593076706,1.0,<Feature>,633014648,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[82.95823520915167,19.653407616973695],[82.95846262913031,19.653421029949982],[82.95852063258587,19.653447772572072],[82.95847157167486,19.653559279381252],[82.958288782543,19.653581568153573],[82.95823520915167,19.653822308998997],[82.95809696827124,19.653817893596088],[82.95823520915167,19.653407616973695]]]}"
