system:index,IUCN_GET_code,IUCN_GET_name,RiparianNatural,RiparianNaturalPct_100m,WaterFrequency,iucn_match,name,.geo
00000000000000000000,F3.2,,0.0,0.0,0.0,<Feature>,Pond 01,"{""type"":""Polygon"",""coordinates"":[[[77.95363451207163,16.46321510446175],[77.95368357780325,16.463210704791567],[77.95377273270803,16.463201738223578],[77.95383966420118,16.463161617457313],[77.95383513238265,16.46311258061614],[77.95382624304573,16.463094746754084],[77.95379504321035,16.463076855963973],[77.95373264351264,16.463090290150195],[77.95368357780325,16.463085853983806],[77.95367460130339,16.463081357224993],[77.95366571195329,16.46307686552062],[77.95365682260244,16.463072462174758],[77.95365237792674,16.463063545245777],[77.95366126727797,16.46305010014806],[77.95366571195329,16.463050181213323],[77.95380837721932,16.46303230130715],[77.9538664193568,16.463010043572027],[77.95393326364174,16.463001108316092],[77.95396890810015,16.463009979187817],[77.95396890810015,16.463045676100137],[77.9539778845756,16.463072439241166],[77.95398677390007,16.463117045796395],[77.95399566322381,16.463143803894724],[77.95399121856204,16.46317941977469],[77.95398677390007,16.463219541957763],[77.95401797368018,16.46324635698781],[77.95402695015156,16.46327753810262],[77.95400019503563,16.46331318544803],[77.95396446343727,16.46333108220567],[77.953915397833,16.463335481943222],[77.95386188753938,16.463344395259817],[77.95379059854034,16.46335333772978],[77.95376384336599,16.46334887013169],[77.95372366701683,16.46334000141125],[77.95368357780325,16.463375670556143],[77.95363895674807,16.463371227042074],[77.95361664621358,16.463322130967303],[77.95361664621358,16.46327309187574],[77.95363451207163,16.46321510446175]]]}"
00000000000000000001,F3.2,,0.0,0.0,0.024997966774962653,<Feature>,Pond 02,"{""type"":""Polygon"",""coordinates"":[[[77.95156545180264,16.4596656768041],[77.95171265174432,16.459661225607658],[77.9518062530241,16.459656758244556],[77.95189549662705,16.45966122720226],[77.95198465300456,16.459665691062817],[77.95206936456796,16.459674580014003],[77.95212287574772,16.45970136302394],[77.95215852080229,16.459745929881674],[77.95218083163732,16.45981729076351],[77.95221203193798,16.459884219239914],[77.9522164766728,16.459946591908924],[77.95218083163732,16.459995683302445],[77.95214963132767,16.459982299056637],[77.95209167542137,16.460004561338952],[77.95199354249273,16.46000461316343],[77.95192669700992,16.460000117829814],[77.95185976433392,16.45997335149629],[77.95179291876852,16.459946590205742],[77.95173496267124,16.459897548429844],[77.95167700654294,16.459875278753152],[77.95161007371256,16.459817322467906],[77.95155656227931,16.459745919194383],[77.95151194034734,16.45970136179964],[77.95156545180264,16.4596656768041]]]}"
00000000000000000002,F3.2,,0.0,0.0,0.0,<Feature>,Artifical WB 01,"{""type"":""Polygon"",""coordinates"":[[[77.95369691182594,16.458087180026467],[77.9537281116896,16.45808713358033],[77.95374153285724,16.458127318760344],[77.95374153285724,16.458158508604285],[77.95373708818502,16.45817185779367],[77.95371922234389,16.458180806173218],[77.95369246715188,16.458185263079383],[77.95368357780325,16.45814958176595],[77.95367913312866,16.4581183992844],[77.95367913312866,16.458096045098213],[77.95369691182594,16.458087180026467]]]}"
00000000000000000003,F3.2,,0.0,0.0,0.0,<Feature>,Artificial WB 02,"{""type"":""Polygon"",""coordinates"":[[[77.95604689872799,16.456450635345227],[77.95615391712796,16.456441729766212],[77.95622973628863,16.456437288975845],[77.95629657911381,16.456446199801047],[77.95635008820355,16.456450626760102],[77.95640359726684,16.456450635883105],[77.95642590722679,16.456481881885114],[77.95640804182955,16.45653536226801],[77.95641701810267,16.45658447863115],[77.95639470814089,16.456629042469864],[77.95630102368091,16.456637925831345],[77.95618067171141,16.45663792976283],[77.9561004079412,16.456633453928625],[77.95603347784625,16.456633461936153],[77.95603347784625,16.456553234329878],[77.95602903326817,16.456481849825504],[77.95604689872799,16.456450635345227]]]}"
