system:index,BuiltUp_Pct,DistWater_m,EMB_00,EMB_01,EMB_02,EMB_03,EMB_04,EMB_05,EMB_06,EMB_07,EMB_08,EMB_09,EMB_10,EMB_11,EMB_12,EMB_13,EMB_14,EMB_15,EMB_16,EMB_17,EMB_18,EMB_19,EMB_20,EMB_21,EMB_22,EMB_23,EMB_24,EMB_25,EMB_26,EMB_27,EMB_28,EMB_29,EMB_30,EMB_31,EMB_32,EMB_33,EMB_34,EMB_35,EMB_36,EMB_37,EMB_38,EMB_39,EMB_40,EMB_41,EMB_42,EMB_43,EMB_44,EMB_45,EMB_46,EMB_47,EMB_48,EMB_49,EMB_50,EMB_51,EMB_52,EMB_53,EMB_54,EMB_55,EMB_56,EMB_57,EMB_58,EMB_59,EMB_60,EMB_61,EMB_62,EMB_63,EdgeDensity_2km,EdgeDensity_500m,ElevStd_m,Elev_m,IUCN_GET_code,IUCN_GET_name,JRC_Water,LST_C,NDVI_raw,NatCoverPct_2km,NatCoverPct_500m,NightLights,PointOnBuilding,SEGMENT_ID,SEG_Elev_m_mean,SEG_LST_C_mean,SEG_NDVI_raw_mean,SEG_NightLights_mean,SEG_Slope_deg_mean,SEG_TRI_m_mean,SEG_TreeCover_Pct_mean,SEG_gHM_mean,Slope_deg,TRI_m,TreeCover_Pct,TreeCover_Pct_EsriClassifier,TreeCover_Pct_Hansen_LossAdjusted,emb_match,gHM,is_natural,iucn_match,name,pob_match,seg_match,.geo
00000000000000000000,0.0,2268.1138024859924,-0.030226141155869846,0.03648656579484766,0.22431851636262598,0.037506638352610616,-0.09769566222433022,0.07483821822663464,0.02861257532149749,0.1267124434527339,-0.07235424668920774,-0.04649163214244222,0.048216394125911326,-0.04728188654974543,-0.3063672850485256,0.09262447584861323,0.08301000933022407,0.18916472336903734,0.0025481213192625417,0.06397822069393393,-0.09339925573796803,-0.06158982706148247,-0.1274464051089864,0.2099987903047115,0.17167281694914854,-0.00667536210012684,0.033196098792580384,0.01398987449111952,0.2205318107940752,-0.0657691446256592,-0.19043928707027377,0.13305364220087892,0.05976186968587449,0.08503947080023141,-0.0987874062336437,-0.07303301749506841,0.023532525831785285,0.027950668386589876,-0.2902922791497638,0.13329347327471708,0.09664689234071251,0.04433703308456729,0.11842073681222534,-0.06655221272431766,-0.2773590794817714,0.16175475284487997,-0.13127138974825167,0.14729585194287848,0.05166261239087292,-0.006176344827834011,-0.19312988893559996,-0.12298193481778519,0.10050421536887924,0.24410932291797674,-0.06945926620602431,-0.030522552433104456,0.13324091740416164,0.05216872015436192,0.002906191124669281,0.11730388863137953,-0.06561219564485744,-0.13751073454853815,-0.12595759359268724,0.04040190628813984,0.16821567549504693,0.05709699480549657,1.366740731580474,0.0,2.1688458776165263,357.64284520134385,F3.2,,,30.103709677419374,0.24442120358301478,10.252357571184916,0.0,1.636875033378601,0,7.90068486E8,0.5743264555931091,30.103710174560547,0.5534158945083618,1.636875033378601,0.0,0.43021997809410095,0.03305784985423088,0.7137523293495178,0.05246032401919365,0.26945576510683644,0.0,0.0,0.0,<Feature>,0.4076424837112427,0.0,<Feature>,grid_00000,<Feature>,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[77.9506870413588,16.45866242624184],[77.95069148615624,16.45888975898305],[77.95054437197918,16.458894214676356],[77.95047743844857,16.45866688026825],[77.9506870413588,16.45866242624184]]]}"
00000000000000000001,0.0,2209.6504209064487,-0.03180738773184681,0.018554706550704386,0.17180565398850306,0.07788144504199034,-0.09289142730089912,0.022371800598339972,0.028711954425049018,0.12456747404844293,-0.09166001954762533,-0.06355776045357904,0.004774067434675264,-0.0629911572472126,-0.31009611687812383,0.0629911572472126,0.043921198056354596,0.17004914699165752,-0.001278946731066629,0.10009480002726347,-0.08882737408688965,-0.022701397119206764,-0.14593571517905535,0.22461764672795648,0.18135638285552821,0.018170530201213488,0.07851909202140579,0.055504191754660766,0.20896625883994044,-0.06242566575413534,-0.2069357939254133,0.13097766581236792,0.06937313266908465,0.052766518372054705,-0.10995289114937261,-0.05911572472126105,0.03656234428569443,-0.005708859494660137,-0.2543070088890741,0.12851294451161044,0.13749426441968235,0.024371349295683308,0.13507385283430645,-0.08364906652479089,-0.2692117489566108,0.21732697803903042,-0.10126696934384433,0.14349142822732686,0.04739334335198762,-0.0035748464280585843,-0.19780973953484066,-0.1069667233772791,0.08421376393694734,0.24188250116961507,-0.01802251351757334,-0.006686743679281304,0.15046028238841014,0.07355116296459524,-0.02169953169077695,0.13097766581236792,-0.11381117152743452,-0.15473873745103994,-0.12456747404844293,0.031319027965544824,0.13345408657202545,0.1019355854791716,1.3713248362214927,0.0,2.246476050447552,358.3958435058594,F3.2,,,30.103709677419374,0.2518252190491008,10.360030636076404,0.0,1.636875033378601,0,7.90068486E8,0.5743264555931091,30.103710174560547,0.5534158945083618,1.636875033378601,0.0,0.43021997809410095,0.03305784985423088,0.7137523293495178,0.05246032401919365,0.2831591945542599,0.0,0.0,0.0,<Feature>,0.4076424837112427,0.0,<Feature>,grid_00001,<Feature>,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[77.95091895495834,16.458479549902947],[77.95092339974627,16.458662351141275],[77.9506870413588,16.45866242624184],[77.9506870413588,16.458533073158492],[77.95091895495834,16.458479549902947]]]}"
00000000000000000002,0.0,2197.946760878978,-0.031213932643587138,0.039789830547378446,0.18040708567887212,0.05768259509832614,-0.09472941635536278,0.044359994720744596,0.035160795790367655,0.13081043685838398,-0.08229497954288537,-0.05902662925281322,0.028199009565781245,-0.06339987260927199,-0.3099024278836498,0.07819989326722789,0.05921179798814463,0.1818331273276065,0.006740039135349779,0.07679327927834874,-0.0945528780549387,-0.027708249984219613,-0.14832768567772442,0.21526849719109187,0.1884904611888654,5.819851147951131E-4,0.0659591821744794,0.04954189146539506,0.20979132939684506,-0.05872772240297935,-0.2022300401108644,0.13130244509861305,0.061867364446510247,0.07641794717301613,-0.09932888728215901,-0.06718334509689156,0.04591035135739985,-2.4921757992046634E-4,-0.2763779992769716,0.14224774627439504,0.11053027366053239,0.0166668020910442,0.12562541846706493,-0.09047020491544584,-0.2759856266533538,0.19977664618086044,-0.09443847888584758,0.15029344167283537,0.05487370070064901,0.011081404970533722,-0.1866546758709337,-0.11094633407357675,0.08155863818164084,0.24096633327021183,-0.034124813074190755,0.0011061646783384117,0.14867158096484132,0.0736914642473905,-0.014134779390246004,0.11861908450825459,-0.08514621815949093,-0.1494041396248286,-0.11833545536446947,0.027205775046336943,0.13839302679222115,0.10403005043984231,1.3711356035839066,0.0,2.254679567844079,358.29321289062506,F3.2,,,30.103709677419374,0.2558313647846678,10.422128990397049,0.0,1.636875033378601,0,7.90068486E8,0.5743264555931091,30.103710174560547,0.5534158945083618,1.636875033378601,0.0,0.43021997809410095,0.03305784985423088,0.7137523293495178,0.05246032401919365,0.27801037545307156,0.0,0.0,0.0,<Feature>,0.4076424837112427,0.0,<Feature>,grid_00002,<Feature>,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[77.95092339974627,16.458662351141275],[77.95092784453401,16.458885354579248],[77.95069148615624,16.45888975898305],[77.9506870413588,16.45866242624184],[77.95092339974627,16.458662351141275]]]}"
00000000000000000003,0.0,2185.312423384455,-0.037828931899162845,0.012314795877432314,0.16291839132114444,0.06097689994893864,-0.1072317272423291,0.03531472770285531,0.024419966524891375,0.13560544821537973,-0.08387138842859457,-0.06831500735775282,0.03180790166536114,-0.05647967817889473,-0.30225156975441847,0.07977026558867356,0.06899938735635222,0.17659048273629566,0.011629191519082621,0.08534807759287164,-0.09554773634896851,-0.02794445302423815,-0.1572227810682446,0.21969421615236603,0.20240525472943738,0.014583905512818905,0.07799216131496238,0.04883867158822184,0.20843133080948267,-0.07051670300325245,-0.19572358965582967,0.151308158827286,0.04279460113002839,0.08017426720445742,-0.09665763701350832,-0.07308915704222511,0.046583957455353764,6.971801232614907E-4,-0.28196326085958406,0.12436411902446355,0.12110802702310378,0.003546636280283773,0.12105782827334202,-0.09192084885232507,-0.2871526540084564,0.20037689874312975,-0.08785894262622383,0.1315548209397054,0.07503982183710543,0.009696335593297373,-0.19262124755765736,-0.10146681080720092,0.0949862746489357,0.22765426121251497,-0.044471788478867506,-0.021748747466062278,0.14813795751749928,0.07301803287127666,-0.005380244862674604,0.11573976604525772,-0.09148601563192037,-0.16060012178669333,-0.08813965492533495,0.029605241372785543,0.14097059264113415,0.08143888241926067,1.3692610546760509,0.0,2.297774523422001,357.88997783591867,F3.2,,,30.103709677419374,0.29459010895040555,10.500467380045034,0.0,1.636875033378601,0,7.90068486E8,0.5743264555931091,30.103710174560547,0.5534158945083618,1.636875033378601,0.0,0.43021997809410095,0.03305784985423088,0.7137523293495178,0.05246032401919365,0.26787206190077406,39.806996381182145,0.0,0.0,<Feature>,0.4076424837112427,0.0,<Feature>,grid_00003,<Feature>,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[77.95092784453401,16.458885354579248],[77.95092784453401,16.45911278335417],[77.9506959309535,16.45911718034219],[77.95069148615624,16.45888975898305],[77.95092784453401,16.458885354579248]]]}"
00000000000000000004,0.0,2174.244507938818,-0.031027070815922375,-0.003332762712451041,0.12832242137826458,0.07133094046740399,-0.11606020892207844,0.02963093925132669,0.019777195931566648,0.13936750884696225,-0.10336537229270792,-0.06707216296184042,0.026955606630801734,-0.058035548745522726,-0.30256096522860854,0.07216090386347755,0.0612797061957267,0.15843283184176776,0.02231868521465167,0.09435670914518184,-0.08828855830295478,0.006372282418048081,-0.1605928844511422,0.2238679302645155,0.2100397096007431,0.029698515730895186,0.09310718037513177,0.05745669595542047,0.2099346405228758,-0.07785038694643928,-0.19392511396047377,0.15364582777913416,0.03113431012403052,0.07548427471747249,-0.087642465793149,-0.07795916038282112,0.05821463015815553,-0.003277571512360489,-0.28020665830379665,0.1015744833308544,0.12748063396915463,-0.015600176237662657,0.10522013337561541,-0.10401543108536769,-0.28418981656877246,0.21307077289195336,-0.07876049919037316,0.13303601179033703,0.09261925274856853,0.01003634200209352,-0.2008438828038252,-0.09369157099412447,0.10095226335369793,0.20804882269686648,-0.049534644638829714,-0.012987256445443495,0.16504997609940403,0.05638647310457982,-0.007017140141682357,0.11598746879124722,-0.10312919137408315,-0.1671941635773626,-0.08396871500854527,0.025801306067009592,0.14739111197171964,0.07704126524423041,1.366994181801087,0.0,2.3664217914488574,357.16802481027116,F3.2,,,30.103709677419374,0.3152011009499684,10.577249575004432,0.0,1.636875033378601,0,-1.589409198E9,0.538094699382782,30.103710174560547,0.5665411353111267,1.636875033378601,0.0,0.33921459317207336,0.2666666805744171,0.762616753578186,0.05246032401919365,0.2544495656416292,81.69099756690997,0.0,0.0,<Feature>,0.4076424837112427,0.0,<Feature>,grid_00004,<Feature>,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[77.95092784453401,16.45911278335417],[77.95093228932157,16.459340205114195],[77.95070046290347,16.459340189205214],[77.9506959309535,16.45911718034219],[77.95092784453401,16.45911278335417]]]}"
00000000000000000005,0.0,2163.798172917386,-0.02761279984177295,0.006398952149435761,0.12424230131556512,0.06583912305079512,-0.11704010470432837,0.0487350211558042,0.026929880593068885,0.13355695013325183,-0.11824194409378186,-0.06125033678748635,0.0264031701919613,-0.06420417747666202,-0.3014624498350625,0.07393994435816631,0.06673928158057521,0.15426899203920155,0.03664861384829779,0.09984897793196847,-0.08653812737075689,0.024020803627920213,-0.15193845290676614,0.21667963361557896,0.19921661464750584,0.025096424653954015,0.08218587440122466,0.06251167277677375,0.21124279880239885,-0.08488251540645078,-0.20497761309248114,0.15305581035357896,0.03725225811594773,0.07506666626302626,-0.0625653569543715,-0.07728293478886074,0.04879036025917752,0.007900050555964244,-0.2870118801470462,0.10049641718660604,0.11256462031058115,-0.026205547835932277,0.10717670671788868,-0.11142324625800093,-0.2935728939303579,0.20443233523145252,-0.0644175418095806,0.14025794641875072,0.09380805484666208,0.01147162256390385,-0.19577457085453706,-0.09270575318800262,0.10478392623067449,0.19971038798927532,-0.05484153581148378,-9.545288961140526E-4,0.17868100397484923,0.05837936347921908,0.0020827846346196345,0.12268885074486796,-0.09665489045703199,-0.16710685674094664,-0.10001539888252149,0.026667514311576112,0.1523141210578205,0.07045051317835561,1.362765116563133,0.0,2.436705949845131,356.3001329316869,F3.2,,,30.103709677419374,0.2689502757052425,10.656706705288443,0.0,1.636875033378601,0,-1.589409198E9,0.538094699382782,30.103710174560547,0.5665411353111267,1.636875033378601,0.0,0.33921459317207336,0.2666666805744171,0.762616753578186,0.05246032401919365,0.24309401622272575,29.26509186351706,0.0,0.0,<Feature>,0.4076424837112427,0.0,<Feature>,grid_00005,<Feature>,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[77.95093228932157,16.459340205114195],[77.95093673410895,16.45956312095886],[77.95075397475983,16.459567541296735],[77.95070046290347,16.45938922693532],[77.95070046290347,16.459340189205214],[77.95093228932157,16.459340205114195]]]}"
00000000000000000006,0.0,2146.8099835741045,-0.02340088976767177,0.0160570977617053,0.13572645570095943,0.05286642211063991,-0.12864415941815321,0.06439564886842249,0.016511636646402622,0.112081703682505,-0.12075425010045299,-0.05348949073953626,0.031472510572856584,-0.05796821927945585,-0.3173549791433601,0.07246258668586113,0.07859180824032398,0.1544192661584758,0.04523494433893269,0.10504959052764554,-0.08789898621987494,0.01634119901830701,-0.12608227604767397,0.22702112836878816,0.17896980051050349,0.0332522771750599,0.07009860290865574,0.04439090806601278,0.20763945619527477,-0.08316708726834388,-0.20287581699346405,0.1571270737397126,0.04501264695764786,0.06706541440105455,-0.04247978654826223,-0.08123966201547698,0.041590828281777105,0.023137139272633715,-0.2928368788175745,0.08965539569801087,0.10216041834690535,-0.018100846117600804,0.10143600061283543,-0.09132144085704456,-0.3047566436275233,0.18948351270332695,-0.08099129022093875,0.14441987321244285,0.10878580534380936,0.005268939361090152,-0.1929104190695886,-0.08773513946342211,0.10793639230718088,0.20309285324036735,-0.07794168234889415,-0.013242795570240478,0.1713332350484053,0.05810003671231134,0.0015874172166286534,0.12517250450231693,-0.09010779544015748,-0.18348593513772898,-0.10583534961972406,0.023404589906137887,0.1560012487967323,0.05050475091997583,1.361215766590143,0.0,2.458107427827712,355.6496887207031,F3.2,,,30.103709677419374,0.24836335202356927,10.753348590269987,0.0,1.636875033378601,0,-1.147922935E9,0.4140646755695343,30.103710174560547,0.5515322089195251,1.636875033378601,0.0,0.24257680773735046,0.13636364042758942,0.7688072919845581,0.05246032401919365,0.23524818158062596,20.770676691729324,0.0,0.0,<Feature>,0.4076424837112427,0.0,<Feature>,grid_00006,<Feature>,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[77.95093673410895,16.45956312095886],[77.95094117889614,16.45979054323763],[77.95082526575865,16.459790535178723],[77.95075397475983,16.459567541296735],[77.95093673410895,16.45956312095886]]]}"
00000000000000000007,0.0,2136.971451429624,-0.030368019465097762,0.015313047574000049,0.136563138965857,0.0798815859956341,-0.0891816611483393,0.005885804693487876,0.035457832170232066,0.14658308850263085,-0.1170531186880556,-0.04526733423755317,-0.014670643642384533,-0.05987893003636278,-0.29983098350569715,0.057369715001643805,0.02398010915296286,0.1589092462695958,0.0059295335210410175,0.11455158305617356,-0.08476489040686412,0.014644501841017461,-0.15326464644656027,0.241582195722314,0.19548106932700282,0.026906359530342844,0.10638419992708548,0.0749425760715975,0.19484292288815178,-0.04881036401065766,-0.20819155534268097,0.1537098926524926,0.024028970845624612,0.04746539419359556,-0.1241734769142926,-0.05304298824265521,0.05902166198392199,-0.035083212596608036,-0.2467731139331922,0.10445659023571888,0.1337235106608912,-0.006011500204170651,0.11446671172844758,-0.10041153442327139,-0.27283024292079927,0.2278477230122955,-0.08398023846933188,0.16000994741300117,0.06271664843803235,-4.914022022577562E-5,-0.18649943075929104,-0.10655923460625405,0.08187106859586796,0.23423762280703067,0.009071762129502387,-0.025349151709487795,0.15309924086317683,0.06637415303995428,-0.035444383267854485,0.12634360453462773,-0.11978841852546512,-0.16978208699708988,-0.10755449317184702,0.02058899627121224,0.12035705244226397,0.10621270652694532,1.3738210926802643,0.0,2.390986885866362,359.1938840365194,F3.2,,,30.103709677419374,0.2617546125359708,10.541855872223305,0.0,1.636875033378601,0,-1.648593359E9,0.6467142105102539,30.103710174560547,0.5674047470092773,1.636875033378601,0.0,0.5456976890563965,0.2222222238779068,0.7378545999526978,0.05246032401919365,0.30090479895730277,2.5226390685640365,0.0,0.0,<Feature>,0.4076424837112427,0.0,<Feature>,grid_00007,<Feature>,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[77.95110615880941,16.458435007952872],[77.95115078090862,16.458430527386888],[77.95115522568702,16.45865794850769],[77.95092339974627,16.458662351141275],[77.95091895495834,16.458479549902947],[77.95110615880941,16.458435007952872]]]}"
00000000000000000008,0.0,2121.481280220019,-0.02740177603411003,0.022519656018506827,0.11713802757876209,0.07771489722743734,-0.09317666516060173,0.00138640294627464,0.041897379914706205,0.15869494326999445,-0.11179697870274487,-0.055804290133590784,0.0030899214320526175,-0.07470329117286915,-0.2953596548585562,0.0654083447223649,0.01221832142045311,0.15836544245101317,0.015501094001839084,0.08437245266886871,-0.09342407140805849,0.024506614057292212,-0.16488163358468716,0.24185704356643667,0.21144710391193364,0.01713179752126031,0.10211367329241702,0.08359203039070695,0.19570174675471072,-0.04152383838894082,-0.20148380138277347,0.15704609213562817,0.02269791424035861,0.06451881224795629,-0.10833924066263119,-0.05736266511757129,0.07755845356128238,-0.040622070306105366,-0.2648233180014051,0.11035209179325564,0.12918931610619538,-0.024713496867665535,0.11848966942342036,-0.10891386524554003,-0.268130861141747,0.2301539647393713,-0.06253825264660513,0.15415785244492344,0.06315542122578721,0.023236505517716843,-0.1723496203500245,-0.10810216171769983,0.0699930309416835,0.23407433599841354,0.007958571053057452,0.008783857228784364,0.15368313328861913,0.05540047763774181,-0.03149789852489825,0.10553893271444355,-0.10880643884861806,-0.16251866444779337,-0.0984072193831495,0.007870901234879716,0.10932856631035605,0.13099779141655235,1.372312364080267,0.0,2.435398410792049,359.66676382542823,F3.2,,,30.103709677419374,0.2446790423307686,10.616780240239025,0.0,1.636875033378601,0,-1.648593359E9,0.6467142105102539,30.103710174560547,0.5674047470092773,1.636875033378601,0.0,0.5456976890563965,0.2222222238779068,0.7378545999526978,0.05246032401919365,0.29176000307978034,0.0,0.0,0.0,<Feature>,0.4076424837112427,0.0,<Feature>,grid_00008,<Feature>,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[77.95115522568702,16.45865794850769],[77.95115967046524,16.45888536989046],[77.95092784453401,16.458885354579248],[77.95092339974627,16.458662351141275],[77.95115522568702,16.45865794850769]]]}"
00000000000000000009,0.0,2108.0356221452757,-0.029304992849644523,0.015213513639806225,0.11136943996824326,0.07189189014129992,-0.10003298740510339,8.000995636686995E-4,0.03051086062890742,0.15712320217485548,-0.11814113890288425,-0.074130555173864,0.028618521710848045,-0.09125280427642614,-0.2843526534041568,0.07299782412670126,0.02034681653034494,0.15404246538520083,0.03002910571746218,0.07325891041629365,-0.09729198850206185,0.023663249023447894,-0.1684057645143426,0.22315049612964746,0.21194177376006917,0.01302644405488771,0.08577402655925634,0.10051600074210096,0.20026869236168077,-0.056165568088918864,-0.19217871863594074,0.1659262220260559,0.02954553719272093,0.07283045352824126,-0.10034037635251832,-0.06348886455315947,0.08118636218320177,-0.0340078401762536,-0.2884942799469426,0.10452782439041543,0.133038269553828,-0.027836151142460713,0.1321933108204703,-0.11690869613695741,-0.27035692557384433,0.22482279563863014,-0.06281438546962638,0.1426757365837725,0.07309849817088772,0.05390462152157529,-0.17888941169068084,-0.10553841413396958,0.07419310632631808,0.2201532225641254,-0.009094530429146246,0.025790025219403254,0.15643906282458242,0.04946437799772466,-0.01387292030141143,0.09463571124870514,-0.09603367398727973,-0.14676128916444708,-0.0840578672185233,0.009263196465674823,0.1269944587636617,0.1182832299527489,1.3695638227669955,0.0,2.471493060909244,359.509716525118,F3.2,,,30.103709677419374,0.2232674034189088,10.694583737511588,0.0,1.636875033378601,0,-1.648593359E9,0.6467142105102539,30.103710174560547,0.5674047470092773,1.636875033378601,0.0,0.5456976890563965,0.2222222238779068,0.7378545999526978,0.05246032401919365,0.28275695613429774,3.730445246690734,0.0,0.0,<Feature>,0.4076424837112427,0.0,<Feature>,grid_00009,<Feature>,<Feature>,"{""type"":""Polygon"",""coordinates"":[[[77.95115967046524,16.45888536989046],[77.9511642023958,16.459108290419827],[77.95092784453401,16.45911278335417],[77.95092784453401,16.458885354579248],[77.95115967046524,16.45888536989046]]]}"
