system:index,IUCN_GET_code,IUCN_GET_name,RiparianNatural,RiparianNaturalPct_100m,WB_ID,WaterFrequency,area_ha,dist_to_ao,dist_to_ne,iucn_match,name,shorelin_1,shoreline_,.geo
00000000000000000000,F3.2,,0.9250771220003866,34.44258608870314,WB01,,10.8809,132.1,22.2,<Feature>,Sumanth Sarovar,1.446,1690.3,"{""type"":""Polygon"",""coordinates"":[[[73.80924347652653,18.642426875275795],[73.80955115292683,18.64235107311297],[73.80998807413687,18.642114762361864],[73.81056779206408,18.6417134184005],[73.8109468202255,18.641490475037934],[73.81134370851672,18.641334421648278],[73.81184758138208,18.641410199164913],[73.81226223889023,18.64165097321032],[73.81240943312197,18.642043358841683],[73.81269924388472,18.642315356046087],[73.81282408945604,18.642551749326934],[73.81278397014731,18.64291289729611],[73.81230235830445,18.64315812328885],[73.81221323395714,18.643447969918807],[73.81208390036682,18.643706587287628],[73.81203480563698,18.64421051287566],[73.81194568116949,18.64468313736711],[73.8115844259946,18.644879335422647],[73.81119202583969,18.64513802698324],[73.81104940811632,18.645365407455902],[73.81091109844529,18.645628508875443],[73.81106717924162,18.64598080110944],[73.81059902623784,18.64648910330149],[73.81044743274516,18.64627505754448],[73.81064363365562,18.64602540042502],[73.81070152455509,18.64588270495495],[73.81055890647929,18.64582919275962],[73.8102333706889,18.645744471046967],[73.81026460491528,18.6454189402331],[73.81044743274516,18.645044321890847],[73.81057227973302,18.644692121718073],[73.81056330439503,18.644250611001382],[73.81038496434505,18.643960806301216],[73.81033147127417,18.643751258888727],[73.8100684036302,18.64362192190254],[73.80999704950086,18.643728881585183],[73.80988997338193,18.643871646078708],[73.80956892418625,18.644009834149447],[73.80937272221367,18.643907300585116],[73.80908739429637,18.643532743740487],[73.80905167218158,18.642993145428594],[73.80924347652653,18.642426875275795]]]}"
00000000000000000003,F3.2,,0.9589087234759177,65.72427218830188,WB04,,0.8785,184.0,22.2,<Feature>,Water Body 01,1.361,452.3,"{""type"":""Polygon"",""coordinates"":[[[73.81212850745088,18.64478572428196],[73.81218200003744,18.644651960106742],[73.81228009965953,18.644531525501044],[73.8124316917524,18.644469159811692],[73.81260563209281,18.64444682685949],[73.81273936321062,18.64453604059516],[73.81283297493944,18.64462963901854],[73.812895442569,18.644803580031073],[73.8128731839906,18.64498642339556],[73.81281071635404,18.645111222746515],[73.81283297493944,18.64527626540978],[73.81292218876072,18.64537431297063],[73.8129935418384,18.645543760911867],[73.81309164105927,18.645664129581096],[73.81318085476424,18.64581132288347],[73.81310052653069,18.645891560642923],[73.81302028801689,18.645878174734413],[73.81292667637642,18.6459182970828],[73.81292218876072,18.645958432127138],[73.81291330328132,18.645945078648108],[73.812895442569,18.64591836380021],[73.8128909549526,18.645909441236117],[73.8128820694718,18.64588712024311],[73.81287758185509,18.645878197680442],[73.8128686963737,18.64586036044893],[73.8128686963737,18.64585587669093],[73.8128642087567,18.645842558288756],[73.81285972113956,18.645838031568847],[73.81285972113956,18.645815788615337],[73.81285532327469,18.64580687394847],[73.81285532327469,18.645793510594295],[73.81285083565737,18.64578010427916],[73.81284634803995,18.645771181721305],[73.81284634803995,18.645762302125313],[73.81284195017479,18.645748903704725],[73.81284195017479,18.645739936192694],[73.81284195017479,18.645726572841884],[73.81283746255716,18.64571765028641],[73.81283297493944,18.64570433189276],[73.81282857707397,18.645695417230847],[73.81282408945604,18.64567752716705],[73.81281520397226,18.645668657462462],[73.81280622873571,18.645655208194654],[73.8127928556325,18.645650779283965],[73.81278397014731,18.645637425826607],[73.81277059704259,18.645632996915495],[73.81276610942335,18.645628470200837],[73.81275722393698,18.64561960049779],[73.81274824869779,18.645610634985765],[73.81273936321061,18.645601765283352],[73.81273487559068,18.64559284273379],[73.81273047772302,18.6455839280772],[73.81272150248265,18.645574962566684],[73.81271261699426,18.645566092865767],[73.81270812937372,18.645557170317876],[73.8126947562639,18.645552653489844],[73.8126858707743,18.64554826754032],[73.8126768955319,18.64554378578137],[73.81266801004152,18.645534828164564],[73.81265912455075,18.645530354298103],[73.81265463692898,18.645525915501885],[73.81264575143761,18.645521441635292],[73.8126367761934,18.6455170477926],[73.81262789070124,18.64550809017645],[73.81261900520865,18.645503616309586],[73.81261451758598,18.64549917751368],[73.81261002996322,18.645490254969147],[73.81259665684678,18.645485826055168],[73.81258328372944,18.645481309223896],[73.81257879610597,18.645481354176212],[73.81256102511603,18.64548137393616],[73.81254765199628,18.645476857102686],[73.81253427887562,18.645472428185176],[73.81252530362637,18.645463462676595],[73.8125164181292,18.64546347255434],[73.81250753263164,18.64545011910868],[73.81249855738118,18.645441241517396],[73.81249415950829,18.645436722697923],[73.81248069663154,18.645423406311835],[73.81247181113237,18.645414448697576],[73.8124629256328,18.645405579000208],[73.81245395038032,18.645396613493933],[73.81244057725335,18.64538321708608],[73.8124316917524,18.64538322696159],[73.81241831862393,18.645369830554138],[73.81241383099673,18.64536539175977],[73.81240045786707,18.645356479096577],[73.81239605999201,18.64535204819506],[73.8123825971086,18.64533416015368],[73.81236922397682,18.645325247491233],[73.81236482610107,18.645316332848065],[73.8123514529681,18.645303024360718],[73.81233359220522,18.64528510124815],[73.81232021907016,18.64526730902168],[73.81230235830446,18.64525835339251],[73.81229347279731,18.645244999960333],[73.81228449753716,18.645236122376108],[73.81228009965953,18.645227207737218],[73.81226672652086,18.64520932759923],[73.81226223889023,18.64520488880782],[73.81225335338128,18.645191535379286],[73.8122443781193,18.645182569880852],[73.8122399802408,18.645178138982672],[73.81223549260957,18.645173700191883],[73.81223100497823,18.645164777663236],[73.81221763183625,18.64515586500575],[73.8122087463253,18.64514690740131],[73.81219986081395,18.645142433534225],[73.81219537318181,18.64513799474401],[73.81218200003744,18.645124598350133],[73.81217751240489,18.645115675823877],[73.81216862689215,18.64511120195698],[73.81215965162635,18.645093356906166],[73.81214627847955,18.645084444250372],[73.81214188059886,18.64508001335396],[73.81213290533186,18.645066652040992],[73.81212850745088,18.645062221144943],[73.8121240198171,18.645053298621647],[73.81211513430198,18.64504434102115],[73.81206603957986,18.644879400580763],[73.81212850745088,18.64478572428196]]]}"
00000000000000000002,F3.2,,1.0,48.18302319653325,WB03,,0.9458,25.3,34.1,<Feature>,Water Body 02,1.241,427.7,"{""type"":""Polygon"",""coordinates"":[[[73.81280183086966,18.64632861609541],[73.81299802945249,18.646266128940546],[73.81311838722453,18.64623495238757],[73.81324772014055,18.646168079396265],[73.81337256536675,18.6460922836702],[73.81351966902274,18.64601642298531],[73.81363123078309,18.64603432144048],[73.81380059272414,18.64614126330622],[73.81377833424729,18.64623935583178],[73.81374710057396,18.646377628575546],[73.81376944880624,18.646551559959338],[73.81384519942223,18.64669871300749],[73.81396564643217,18.646841356485492],[73.81391655216794,18.64693946318845],[73.81385857245452,18.64706430668085],[73.81384519942223,18.64714902607508],[73.8137158668957,18.64716684149842],[73.81359102188556,18.647166852526205],[73.8134171721611,18.647037535564323],[73.81331009788741,18.646943894778506],[73.813283351748,18.646796743065302],[73.813283351748,18.646792347204904],[73.81327446628477,18.64677450989002],[73.81326558082115,18.6467521888],[73.81325660560498,18.646743311148896],[73.81324772014055,18.646729869697467],[73.81324323253212,18.646725430872326],[73.81322537184951,18.64671647518198],[73.81308275558747,18.64669865858564],[73.81297568113331,18.646756674873135],[73.81292667637642,18.64675667330195],[73.81279734325113,18.64675215713285],[73.81274385083044,18.646636237914592],[73.81274385083044,18.6464801852981],[73.81280183086966,18.64632861609541]]]}"
00000000000000000001,F3.2,,0.7421144371662117,15.99576331026692,WB02,,4.6388,123.2,45.4,<Feature>,Sharma Lake,1.349,1029.8,"{""type"":""Polygon"",""coordinates"":[[[73.80854779221957,18.639470505720745],[73.80853002086874,18.639327753601737],[73.8085701410373,18.639153871857573],[73.80879748850592,18.63894432092388],[73.80902043776439,18.638846208913225],[73.80923001342929,18.638721337633566],[73.80942181760194,18.63862769516214],[73.80967600047835,18.638650044799473],[73.80986322678159,18.638649979080014],[73.81018427550133,18.638574204927135],[73.8103671034052,18.638627731101952],[73.81070152455509,18.638774851134656],[73.81038496434505,18.63895326506053],[73.81022439533561,18.63921185685014],[73.81009954812895,18.639457061435117],[73.81001930840182,18.639648868083977],[73.81009066252317,18.6398539163598],[73.81021550973541,18.639965468075257],[73.8103671034052,18.6401036360106],[73.81057227973302,18.640166073615422],[73.81084423228168,18.640290911613377],[73.81092007376758,18.640487124249272],[73.81059902623784,18.640442543107223],[73.81047857718443,18.64053173522938],[73.81040722320252,18.64057187999316],[73.81037159107869,18.6407234765768],[73.81041619854757,18.640906305325817],[73.81047417926679,18.641098046661437],[73.81042508413877,18.64127641653302],[73.81025123164079,18.64142799130085],[73.80985434116525,18.64116943568529],[73.80948868424468,18.641102466852754],[73.80915426105173,18.640964308148824],[73.80881086187831,18.64046042838738],[73.80876185609317,18.640059099315984],[73.80871724825259,18.639880755442142],[73.80858791238452,18.63975140163855],[73.8084987863695,18.639648881002678],[73.80854779221957,18.639470505720745]]]}"
00000000000000000004,F3.2,,0.8513710368466152,30.28857145697272,WB05,,0.8624,87.9,60.7,<Feature>,Water Body 03,1.393,458.5,"{""type"":""Polygon"",""coordinates"":[[[73.81005942826944,18.647224888232763],[73.8102333706889,18.647140139214663],[73.81033586919496,18.647117856513216],[73.81048306485539,18.64710003262538],[73.81063914598829,18.647037537330796],[73.81078625167054,18.647068762575174],[73.81087546641191,18.64716689961514],[73.8109468202255,18.64727832365851],[73.81101368635458,18.64739427638761],[73.81110729889744,18.647483481231795],[73.81099142756513,18.64770644481491],[73.81089332730603,18.64781342673558],[73.81077287843121,18.64790710156905],[73.81067926573061,18.648023005898725],[73.81066140481724,18.648165706150724],[73.81061239948887,18.64839762787866],[73.81056330439503,18.648491248687264],[73.81045631833496,18.648460034678603],[73.81044294507339,18.648277222475407],[73.81040722320252,18.648161283298037],[73.81034035686915,18.64813447751722],[73.81030472473331,18.648063207932246],[73.81025123164079,18.647978410659526],[73.81028237611085,18.647853583299216],[73.81037159107869,18.647706433858158],[73.8104028252833,18.647603857247084],[73.81031361032949,18.64756822840691],[73.8103091226547,18.647474554359114],[73.81028686378623,18.64735865686944],[73.8101531310159,18.6473585867823],[73.81013966798032,18.647354149681885],[73.81011740909285,18.647349730151294],[73.81010403580846,18.647345213027272],[73.8100684036302,18.647354211289965],[73.81004605498113,18.647331848934368],[73.81005942826944,18.647224888232763]]]}"
